baseline,median_delta_nll,mean_delta_nll,pct_drugs_cindes_better_nll,median_delta_abs_coverage_error,pct_drugs_cindes_better_coverage,n_drugs
ElasticNet Gaussian,-0.00793153115393841,-0.024669810129428198,55.202312138728324,-0.014474969474969523,71.67630057803468,692
PCA/Ridge Gaussian,-0.001057232720134249,-0.014288239605919462,50.72254335260116,0.01176470588235294,18.352601156069365,692
PCA MDN,0.0243201581717718,0.02581612078912178,13.583815028901732,0.0035828877005347586,39.30635838150289,692
