drug_name,seed,method,n_train,n_test,p_raw,top_genes,raw_x_top_genes,num_factors,test_nll,pit_ks,pi90_coverage,abs_coverage_error,pi90_width,epochs_trained,best_val_loss,stopped_early,cindes_epochs_trained,cindes_best_val_loss,cindes_stopped_early,mdn_components,mdn_best_val_nll,mdn_grid_mass_mean,mdn_grid_mass_min,fit_eval_seconds,y_train_mean,y_train_sd,y_test_mean,y_test_sd,grid_min,grid_max,test_y_outside_grid_count,analysis_id,source,drug_id,analysis_unit,grid_size
Trametinib,12345,plugin_pca_cindes,750,188,17737,2000,2000,3,2.01353006138214,0.07893713871583163,0.8882978723404256,0.011702127659574457,6.558651120811056,69,0.5828884243965149,True,69,0.5828884243965149,True,nan,nan,nan,nan,1.5200652909999999,0.1914690666666667,2.286516759187614,0.3125969680851064,2.1543111650134934,-11.241114729271402,11.624052862604735,0,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,401
Trametinib,12345,pca_gaussian_baseline,750,188,17737,2000,2000,3,2.1560704297488082,0.14791906950174105,0.9148936170212766,0.014893617021276562,7.227235249218611,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015448750000000011,0.1914690666666667,2.286516759187614,0.3125969680851064,2.1543111650134934,-11.241114729271402,11.624052862604735,0,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,401
Trametinib,12345,pca_mdn,750,188,17737,2000,2000,3,1.969011587982482,0.07883347625183501,0.9308510638297872,0.030851063829787195,6.295140686866194,80,1.9800609265740206,True,80,1.9800609265740206,True,5,1.9800609265740206,0.9999945237965766,0.9999140207328339,1.6973251669999998,0.1914690666666667,2.286516759187614,0.3125969680851064,2.1543111650134934,-11.241114729271402,11.624052862604735,0,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,401
Trametinib,12346,plugin_pca_cindes,750,188,17737,2000,2000,3,2.077363140238254,0.05871648982173794,0.9202127659574468,0.02021276595744681,7.015905559840563,33,0.6501158475875854,True,33,0.6501158475875854,True,nan,nan,nan,nan,0.2973347500000001,0.22650027599999997,2.2635522845707756,0.17284480319148934,2.2514561928597177,-11.091261146853878,11.544261698853877,0,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,401
Trametinib,12346,pca_gaussian_baseline,750,188,17737,2000,2000,3,2.173916098675859,0.125553422875601,0.9042553191489362,0.004255319148936176,7.186471828375725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0011473330000004722,0.22650027599999997,2.2635522845707756,0.17284480319148934,2.2514561928597177,-11.091261146853878,11.544261698853877,0,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,401
Trametinib,12346,pca_mdn,750,188,17737,2000,2000,3,1.958292859031799,0.04692908817422864,0.9042553191489362,0.004255319148936176,6.17784495682516,131,1.9555066326575288,True,131,1.9555066326575288,True,3,1.9555066326575288,0.9999750692849431,0.9996706256987393,2.012689375,0.22650027599999997,2.2635522845707756,0.17284480319148934,2.2514561928597177,-11.091261146853878,11.544261698853877,0,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,401
Trametinib,12347,plugin_pca_cindes,750,188,17737,2000,2000,3,2.050554676473463,0.14481236155923716,0.898936170212766,0.0010638297872340718,6.744192811406275,38,0.5988813042640686,True,38,0.5988813042640686,True,nan,nan,nan,nan,0.30225650000000037,0.1873998693333333,2.2467626271119134,0.32883046808510635,2.314865359895992,-11.046413266226233,11.4212130048929,0,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,401
Trametinib,12347,pca_gaussian_baseline,750,188,17737,2000,2000,3,2.2212887612545256,0.17563467465422117,0.9095744680851063,0.009574468085106314,7.10046347085065,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010991249999996455,0.1873998693333333,2.2467626271119134,0.32883046808510635,2.314865359895992,-11.046413266226233,11.4212130048929,0,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,401
Trametinib,12347,pca_mdn,750,188,17737,2000,2000,3,1.9295497102306245,0.07436534020470914,0.9202127659574468,0.02021276595744681,6.67693339472525,63,1.9768847310290143,True,63,1.9768847310290143,True,5,1.9768847310290143,0.9999525724940258,0.9993202310216774,0.8576249579999988,0.1873998693333333,2.2467626271119134,0.32883046808510635,2.314865359895992,-11.046413266226233,11.4212130048929,0,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,401
Trametinib,12348,plugin_pca_cindes,750,188,17737,2000,2000,3,1.960114581695357,0.04562815046661306,0.8936170212765957,0.00638297872340432,5.89948360226149,115,0.5634489059448242,True,115,0.5634489059448242,True,nan,nan,nan,nan,0.8327405830000014,0.15465194000000002,2.2982233747851732,0.4594738031914894,2.0888240014461807,-11.336464933925866,11.645768813925867,0,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,401
