drug_name,seed,method,n_train,n_test,p_raw,top_genes,raw_x_top_genes,num_factors,test_nll,pit_ks,pi90_coverage,abs_coverage_error,pi90_width,epochs_trained,best_val_loss,stopped_early,cindes_epochs_trained,cindes_best_val_loss,cindes_stopped_early,mdn_components,mdn_best_val_nll,mdn_grid_mass_mean,mdn_grid_mass_min,fit_eval_seconds,y_train_mean,y_train_sd,y_test_mean,y_test_sd,grid_min,grid_max,test_y_outside_grid_count,analysis_id,source,drug_id,analysis_unit,grid_size
MG-132,12345,plugin_pca_cindes,752,189,17737,2000,2000,10,0.922057243330191,0.08930705923849347,0.8783068783068783,0.021693121693121764,1.9038457397695991,43,0.6132801175117493,True,43,0.6132801175117493,True,nan,nan,nan,nan,1.3098239580000004,-1.285060738031915,0.7473732554262588,-1.2397999523809526,0.6257739570227558,-5.021927015163209,2.4518055390993787,0,GDSC2::1862::MG-132,GDSC2,1862,source_drug,401
MG-132,12345,gaussian_elasticnet_baseline,752,189,17737,2000,2000,10,0.8875164587688038,0.08145599343472254,0.8412698412698413,0.058730158730158744,1.5332461378837698,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.293468459000003,-1.285060738031915,0.7473732554262588,-1.2397999523809526,0.6257739570227558,-5.021927015163209,2.4518055390993787,0,GDSC2::1862::MG-132,GDSC2,1862,source_drug,401
MG-132,12345,pca_gaussian_baseline,752,189,17737,2000,2000,10,0.9436678281206244,0.09384244682105031,0.9312169312169312,0.031216931216931143,2.245746249103139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003564208000000235,-1.285060738031915,0.7473732554262588,-1.2397999523809526,0.6257739570227558,-5.021927015163209,2.4518055390993787,0,GDSC2::1862::MG-132,GDSC2,1862,source_drug,401
MG-132,12345,pca_mdn,752,189,17737,2000,2000,10,0.8655380530962868,0.07013213884138692,0.8783068783068783,0.021693121693121764,1.9634849437674273,55,0.8475933566322547,True,55,0.8475933566322547,True,5,0.8475933566322547,0.9966135588146828,0.9514480643572594,1.2259197079999993,-1.285060738031915,0.7473732554262588,-1.2397999523809526,0.6257739570227558,-5.021927015163209,2.4518055390993787,0,GDSC2::1862::MG-132,GDSC2,1862,source_drug,401
MG-132,12346,plugin_pca_cindes,752,189,17737,2000,2000,10,0.9966764674722598,0.0633323695583532,0.8941798941798942,0.0058201058201058364,2.1270651444678284,35,0.6617591381072998,True,35,0.6617591381072998,True,nan,nan,nan,nan,0.27975158299999947,-1.2786764747340424,0.7278718033314096,-1.2652018888888887,0.7127535535694479,-4.91803549139109,2.3606825419230058,1,GDSC2::1862::MG-132,GDSC2,1862,source_drug,401
MG-132,12346,gaussian_elasticnet_baseline,752,189,17737,2000,2000,10,1.057760046026346,0.05636841325357578,0.8465608465608465,0.05343915343915351,1.6170597047178297,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.74656075,-1.2786764747340424,0.7278718033314096,-1.2652018888888887,0.7127535535694479,-4.91803549139109,2.3606825419230058,1,GDSC2::1862::MG-132,GDSC2,1862,source_drug,401
MG-132,12346,pca_gaussian_baseline,752,189,17737,2000,2000,10,1.0394429343168274,0.07572318468797279,0.9259259259259259,0.025925925925925908,2.188780456111315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0013189160000024458,-1.2786764747340424,0.7278718033314096,-1.2652018888888887,0.7127535535694479,-4.91803549139109,2.3606825419230058,1,GDSC2::1862::MG-132,GDSC2,1862,source_drug,401
MG-132,12346,pca_mdn,752,189,17737,2000,2000,10,0.8866545991607444,0.04378735949658907,0.8835978835978836,0.016402116402116418,1.9200889326744748,54,0.8466133284553836,True,54,0.8466133284553836,True,2,0.8466133284553836,0.9986258430971113,0.963222988957103,1.0161122500000062,-1.2786764747340424,0.7278718033314096,-1.2652018888888887,0.7127535535694479,-4.91803549139109,2.3606825419230058,1,GDSC2::1862::MG-132,GDSC2,1862,source_drug,401
MG-132,12347,plugin_pca_cindes,752,189,17737,2000,2000,10,0.9522812086546315,0.07606638890207706,0.8359788359788359,0.06402116402116409,1.809633654045501,63,0.5504019856452942,True,63,0.5504019856452942,True,nan,nan,nan,nan,0.6849745829999989,-1.2780172539893615,0.7496401593517498,-1.26782482010582,0.6161161330437522,-5.026218050748111,2.4701835427693872,0,GDSC2::1862::MG-132,GDSC2,1862,source_drug,401
MG-132,12347,gaussian_elasticnet_baseline,752,189,17737,2000,2000,10,0.9314870446453841,0.05424569240215482,0.8835978835978836,0.016402116402116418,1.6372736334082034,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.813233917000005,-1.2780172539893615,0.7496401593517498,-1.26782482010582,0.6161161330437522,-5.026218050748111,2.4701835427693872,0,GDSC2::1862::MG-132,GDSC2,1862,source_drug,401
