drug_name,method,test_nll_mean,test_nll_se,delta_nll_vs_elasticnet,delta_nll_vs_pca_gaussian,pit_ks_mean,pi90_coverage_mean,abs_coverage_error,pi90_width_mean,reps
(5Z)-7-Oxozeaenol,Plug-in PCA CINDES,1.5475699157967235,0.0316633640445237,0.00204128382941704,-0.03535676437662971,0.06699866250416904,0.8847457627118643,0.015254237288135686,3.733385105594453,5
(5Z)-7-Oxozeaenol,ElasticNet Gaussian,1.5455286319673065,0.03382594631711978,0.0,-0.03739804820604675,0.06732362097026408,0.8519774011299435,0.048022598870056554,3.165779475363538,5
(5Z)-7-Oxozeaenol,PCA/Ridge Gaussian,1.5829266801733533,0.026007260770390173,0.03739804820604675,0.0,0.0762169023881069,0.903954802259887,0.00395480225988698,3.8744391111339844,5
(5Z)-7-Oxozeaenol,PCA MDN,1.5828010693108294,0.04641739489501682,0.037272437343522924,-0.00012561086252382836,0.0767304303176738,0.864406779661017,0.035593220338983045,3.4726368779864956,5
123138,Plug-in PCA CINDES,1.1438302942487877,0.03978015870488979,-0.02101079645895254,0.03448537006806762,0.0910415272549482,0.9244755244755243,0.024475524475524257,2.697450570908552,5
123138,ElasticNet Gaussian,1.1648410907077402,0.07721505411734442,0.0,0.05549616652702016,0.08256410848317768,0.834965034965035,0.06503496503496498,2.013489579961598,5
123138,PCA/Ridge Gaussian,1.10934492418072,0.04003319564574496,-0.05549616652702016,0.0,0.07470157977358186,0.9104895104895105,0.010489510489510523,2.398341184992629,5
123138,PCA MDN,1.1021700315125336,0.04053309267790988,-0.06267105919520666,-0.007174892668186494,0.08482818963564602,0.8755244755244755,0.02447552447552448,2.292237442782631,5
123829,Plug-in PCA CINDES,1.885265062381705,0.0161368180075931,0.13230062333153314,0.0017339953976349687,0.11778944733826764,0.9174825174825175,0.0174825174825175,5.43353694755137,5
123829,ElasticNet Gaussian,1.752964439050172,0.010812634795252993,0.0,-0.13056662793389817,0.0674448478992183,0.8475524475524475,0.0524475524475525,4.158035876436253,5
123829,PCA/Ridge Gaussian,1.8835310669840701,0.015153346928741629,0.13056662793389817,0.0,0.1299520777775052,0.9104895104895105,0.010489510489510523,5.213954008433597,5
123829,PCA MDN,1.8310780507284445,0.016071645704641632,0.07811361167827258,-0.052453016255625595,0.07161187810005414,0.8657342657342657,0.034265734265734316,4.606638423324016,5
150412,Plug-in PCA CINDES,1.4050462608176155,0.02485460332192908,-0.013964426788322548,0.029161081627099072,0.0829065736910802,0.9104895104895105,0.010489510489510523,3.380254843108703,5
150412,ElasticNet Gaussian,1.419010687605938,0.04337461165564308,0.0,0.04312550841542162,0.08383672489358425,0.8545454545454545,0.045454545454545525,2.600286510402784,5
150412,PCA/Ridge Gaussian,1.3758851791905164,0.02862628534112488,-0.04312550841542162,0.0,0.0738542590479319,0.9062937062937063,0.0062937062937062915,3.1791362846727127,5
150412,PCA MDN,1.3755439917941195,0.0325562856961879,-0.04346669581181861,-0.00034118739639699136,0.07267109188976936,0.8881118881118881,0.011888111888111896,3.0293731984394254,5
5-Fluorouracil,Plug-in PCA CINDES,1.834663925478221,0.018154098194652673,0.03919130700852236,0.01960206084144933,0.07426561898723154,0.8969227070561365,0.0030772929438634966,4.854280632134025,5
5-Fluorouracil,ElasticNet Gaussian,1.7954726184696987,0.019537553537511434,0.0,-0.019589246167073027,0.08277447484483434,0.8392565212164923,0.06074347878350772,4.0643826254051705,5
5-Fluorouracil,PCA/Ridge Gaussian,1.8150618646367718,0.017321891965905438,0.019589246167073027,0.0,0.06366846712023139,0.9022779180189927,0.002277918018992686,4.890657418005458,5
5-Fluorouracil,PCA MDN,1.8014597260836642,0.02091111794151985,0.005987107613965481,-0.013602138553107546,0.06656148206106254,0.8837300156268781,0.016269984373121882,4.578766189175226,5
5-azacytidine,Plug-in PCA CINDES,1.6396863385093177,0.03575431447373077,-0.030498802781467216,0.00956641026176186,0.09189131040914682,0.8783783783783784,0.021621621621621623,3.8471860167906144,5
5-azacytidine,ElasticNet Gaussian,1.6701851412907849,0.08016524165474795,0.0,0.040065213043229075,0.12716916144801788,0.7837837837837838,0.11621621621621625,2.7111583911475323,5
5-azacytidine,PCA/Ridge Gaussian,1.6301199282475558,0.04228625545696572,-0.040065213043229075,0.0,0.0716465365236822,0.904054054054054,0.004054054054054013,3.9172265400862876,5
5-azacytidine,PCA MDN,1.622133372281049,0.04549991610698795,-0.048051769009735956,-0.00798655596650688,0.07748057179212113,0.8716216216216216,0.02837837837837842,3.6956747486102914,5
50869,Plug-in PCA CINDES,1.5582644512904207,0.01552843002357351,0.04276413860580641,0.045070355038748566,0.09043292997601657,0.9076923076923077,0.007692307692307665,3.8302406819962584,5
50869,ElasticNet Gaussian,1.5155003126846143,0.02779713770734011,0.0,0.002306216432942154,0.10158681632013758,0.813986013986014,0.08601398601398602,2.897198194241597,5
50869,PCA/Ridge Gaussian,1.5131940962516721,0.011964011610039677,-0.002306216432942154,0.0,0.06665976375779252,0.9076923076923077,0.007692307692307665,3.625894893776736,5
50869,PCA MDN,1.4823941540051173,0.015599272125604283,-0.033106158679496955,-0.0307999422465548,0.07772308030542666,0.8923076923076924,0.007692307692307665,3.389055698454288,5
615590,Plug-in PCA CINDES,1.1447260194630473,0.02747825817129378,0.02470739237439168,0.04160648915757603,0.09844909708479141,0.9202797202797204,0.02027972027972036,2.7448811541754723,5
615590,ElasticNet Gaussian,1.1200186270886556,0.034323130772666834,0.0,0.016899096783184353,0.07564677890507318,0.8545454545454545,0.045454545454545525,2.106443612052949,5
615590,PCA/Ridge Gaussian,1.1031195303054713,0.028222699255176408,-0.016899096783184353,0.0,0.07403099324057524,0.9034965034965035,0.0034965034965034336,2.4071519089365774,5
615590,PCA MDN,1.0887124653045948,0.03941172174346394,-0.03130616178406087,-0.014407065000876518,0.08786951993206835,0.8713286713286713,0.02867132867132871,2.2514402668971716,5
630600,Plug-in PCA CINDES,1.8074157996116202,0.029584798829807295,0.05564178354170224,0.04473240755052643,0.10525801472766108,0.9062937062937063,0.0062937062937062915,4.882812481753179,5
630600,ElasticNet Gaussian,1.751774016069918,0.03043414935209608,0.0,-0.010909375991175807,0.10144236759240854,0.8223776223776224,0.07762237762237767,3.7120369033108305,5
630600,PCA/Ridge Gaussian,1.7626833920610938,0.022823883593688227,0.010909375991175807,0.0,0.06650852925119104,0.9062937062937063,0.0062937062937062915,4.5643571860337,5
630600,PCA MDN,1.7896500795037595,0.030762992607749992,0.037876063433841534,0.026966687442665727,0.09240243126015013,0.8713286713286713,0.02867132867132871,4.295813899645532,5
667880,Plug-in PCA CINDES,1.5903480230743579,0.029711335263877738,0.02601026635999326,0.025209777845484505,0.07798932068049223,0.909090909090909,0.009090909090908927,4.111034775579211,5
667880,ElasticNet Gaussian,1.5643377567143646,0.03841596293218799,0.0,-0.000800488514508757,0.06810630354762018,0.86993006993007,0.030069930069929973,3.5622437044064164,5
667880,PCA/Ridge Gaussian,1.5651382452288733,0.035336429156974845,0.000800488514508757,0.0,0.06973664570945466,0.9034965034965035,0.0034965034965034336,3.8381478434555043,5
667880,PCA MDN,1.5747981328230638,0.04739852401475087,0.01046037610869921,0.009659887594190453,0.06769448832676897,0.8825174825174825,0.0174825174825175,3.7158937701243056,5
720427,Plug-in PCA CINDES,1.1637914770291518,0.038789978758940045,0.007064261883577894,0.038767463286945913,0.09163465276564256,0.8923076923076924,0.007692307692307665,2.572741772203255,5
720427,ElasticNet Gaussian,1.1567272151455739,0.06418588365566798,0.0,0.03170320140336802,0.0856351031397449,0.8377622377622378,0.06223776223776223,2.1423471934004255,5
720427,PCA/Ridge Gaussian,1.1250240137422058,0.04237950566147263,-0.03170320140336802,0.0,0.07956839183572742,0.8671328671328672,0.03286713286713283,2.36107293413642,5
720427,PCA MDN,1.1312512418190082,0.043444045293786794,-0.025475973326565704,0.006227228076802316,0.0810086104832447,0.8503496503496504,0.049650349650349646,2.264010356127131,5
729189,Plug-in PCA CINDES,1.1336073983515955,0.02237812505971764,0.05274695967330523,0.04482901768965619,0.10725249877318976,0.9174825174825175,0.0174825174825175,2.599476836945581,5
729189,ElasticNet Gaussian,1.0808604386782903,0.039687020567677436,0.0,-0.007917941983649035,0.08804929173879592,0.8573426573426574,0.04265734265734267,2.0236152339086537,5
729189,PCA/Ridge Gaussian,1.0887783806619393,0.02503091353211362,0.007917941983649035,0.0,0.08891459282438284,0.8895104895104895,0.010489510489510523,2.3088878486849724,5
729189,PCA MDN,1.0925920707570924,0.028153514418454515,0.011731632078802123,0.0038136900951530883,0.09041885194470531,0.8741258741258742,0.025874125874125853,2.2411047636149903,5
741909,Plug-in PCA CINDES,1.6263791937452787,0.02293320224235069,-0.07894708737122902,-0.09883715984303754,0.1639274392271242,0.8517482517482519,0.04825174825174816,3.9747545058348015,5
741909,ElasticNet Gaussian,1.7053262811165077,0.03380035171743975,0.0,-0.019890072471808518,0.11862014537103387,0.848951048951049,0.05104895104895102,3.486046195562607,5
741909,PCA/Ridge Gaussian,1.7252163535883163,0.026163172212250237,0.019890072471808518,0.0,0.12966884988657532,0.8979020979020979,0.002097902097902171,4.473948129922457,5
741909,PCA MDN,1.5453868654224423,0.014215664822922617,-0.15993941569406545,-0.17982948816587396,0.08375103343137946,0.876923076923077,0.023076923076922995,4.048828398803106,5
743380,Plug-in PCA CINDES,1.6296843663223002,0.023543952734128508,-0.08026750374563729,-0.10470470425858935,0.12184099271720235,0.848951048951049,0.05104895104895102,4.106983587807567,5
743380,ElasticNet Gaussian,1.7099518700679375,0.027219895565126752,0.0,-0.024437200512952062,0.11485482826975817,0.8321678321678322,0.06783216783216783,3.623010989672104,5
743380,PCA/Ridge Gaussian,1.7343890705808895,0.02663010591823345,0.024437200512952062,0.0,0.12485887199097052,0.8895104895104895,0.010489510489510523,4.47615871331543,5
743380,PCA MDN,1.5533516605417212,0.014049854718665624,-0.15660020952621623,-0.1810374100391683,0.09286656257495571,0.8839160839160838,0.01608391608391624,4.039602590755855,5
765771,Plug-in PCA CINDES,1.3910829883448104,0.022722625354428157,0.014231835206691468,0.026256518645943583,0.10016291094058291,0.9146853146853147,0.014685314685314643,3.231100616580535,5
765771,ElasticNet Gaussian,1.376851153138119,0.03332845732497201,0.0,0.012024683439252115,0.09854907568862162,0.8097902097902099,0.09020979020979014,2.3376254058737014,5
765771,PCA/Ridge Gaussian,1.3648264696988668,0.014482774551719485,-0.012024683439252115,0.0,0.08352323339124726,0.8951048951048952,0.004895104895104807,3.031451715118094,5
765771,PCA MDN,1.321408775761411,0.016774137670896774,-0.055442377376707874,-0.04341769393745576,0.07458101088521533,0.8825174825174825,0.0174825174825175,2.826473918697608,5
776928,Plug-in PCA CINDES,1.4295496053077945,0.023657108146146615,-0.2516936079654626,-0.2367294833522322,0.12354468410987052,0.8265734265734265,0.07342657342657355,3.380525418915023,5
776928,ElasticNet Gaussian,1.681243213273257,0.016060134057244,0.0,0.014964124613230378,0.14516367045411252,0.86993006993007,0.030069930069929973,3.639661491612204,5
776928,PCA/Ridge Gaussian,1.6662790886600267,0.01468061294423475,-0.014964124613230378,0.0,0.13728650697804196,0.9062937062937063,0.0062937062937062915,4.217428961422414,5
776928,PCA MDN,1.3538890677940596,0.030676200055497545,-0.3273541454791975,-0.3123900208659671,0.1103504930189293,0.8685314685314685,0.03146853146853157,3.708225401801369,5
965-D2,Plug-in PCA CINDES,1.446159167811215,0.02626417474073438,0.005504003923686218,0.015898078366176627,0.08659530352356667,0.9109756097560975,0.01097560975609746,3.3484324176096543,5
965-D2,ElasticNet Gaussian,1.4406551638875287,0.033204668990324225,0.0,0.010394074442490409,0.08559216915261399,0.8817073170731706,0.018292682926829396,2.9949200542570518,5
965-D2,PCA/Ridge Gaussian,1.4302610894450383,0.03363175159164117,-0.010394074442490409,0.0,0.06999270740538031,0.9085365853658537,0.008536585365853666,3.239566323023637,5
965-D2,PCA MDN,1.4575251590914842,0.043491129856761686,0.01686999520395549,0.0272640696464459,0.07564529919590682,0.902439024390244,0.0024390243902440156,3.139079370057509,5
993-D2,Plug-in PCA CINDES,1.1170520292744435,0.04017249027041284,-0.08765111554629756,-0.0869878045225656,0.08612921208570881,0.8945454545454545,0.00545454545454549,2.259054950588541,5
993-D2,ElasticNet Gaussian,1.204703144820741,0.04290059744051044,0.0,0.0006633110237319606,0.09399621888880846,0.8909090909090909,0.00909090909090915,2.24266606923625,5
993-D2,PCA/Ridge Gaussian,1.204039833797009,0.04320086924491894,-0.0006633110237319606,0.0,0.10822895220373366,0.9151515151515153,0.015151515151515249,2.4561916492064997,5
993-D2,PCA MDN,1.1203405983881516,0.04039222808737295,-0.08436254643258945,-0.08369923540885749,0.08943175241332355,0.8921212121212122,0.007878787878787818,2.4069863734433445,5
A-366,Plug-in PCA CINDES,1.3378443560358007,0.03987707273054857,-0.08353726875731327,0.026470054718453984,0.08744259233526992,0.8932432432432431,0.00675675675675691,2.8715598552044277,5
A-366,ElasticNet Gaussian,1.421381624793114,0.10326326886862199,0.0,0.11000732347576725,0.0915402504096213,0.818918918918919,0.08108108108108103,2.1854473027083556,5
A-366,PCA/Ridge Gaussian,1.3113743013173467,0.03412801356058125,-0.11000732347576725,0.0,0.06484596832588115,0.8986486486486486,0.0013513513513514486,2.749296800656571,5
A-366,PCA MDN,1.3412348752086227,0.03480863417183752,-0.0801467495844912,0.029860573891276054,0.07631692662208268,0.8797297297297298,0.020270270270270174,2.7033311508431543,5
A-443654,Plug-in PCA CINDES,1.758566958438977,0.015873236449173187,0.010912355002840934,0.005247068942868305,0.18648020152032801,0.909090909090909,0.009090909090908927,4.7578582343966875,5
A-443654,ElasticNet Gaussian,1.747654603436136,0.02621871197404193,0.0,-0.00566528605997263,0.142317854087257,0.8649350649350648,0.03506493506493524,4.082388801162412,5
A-443654,PCA/Ridge Gaussian,1.7533198894961086,0.030453249550268627,0.00566528605997263,0.0,0.15530481230488508,0.8935064935064935,0.006493506493506551,4.518561174046522,5
A-443654,PCA MDN,1.7298824357134959,0.048242782078867404,-0.01777216772264012,-0.02343745378261275,0.12382078681913988,0.8493506493506494,0.05064935064935061,4.286299007713096,5
A-770041,Plug-in PCA CINDES,1.9003412597936886,0.0649934541764732,-0.28745387302131165,-0.038735425715761496,0.10002430032938521,0.9116883116883117,0.011688311688311637,5.107005046750009,5
A-770041,ElasticNet Gaussian,2.1877951328150003,0.21155586239060498,0.0,0.24871844730555015,0.12613232766325794,0.8051948051948052,0.09480519480519478,4.025634214454048,5
A-770041,PCA/Ridge Gaussian,1.9390766855094501,0.07861755722747765,-0.24871844730555015,0.0,0.09645649275801496,0.8909090909090909,0.00909090909090915,5.131215490526614,5
A-770041,PCA MDN,1.8678948774740296,0.0966047569985321,-0.31990025534097066,-0.07118180803542051,0.07875379751028007,0.8831168831168832,0.016883116883116833,4.855499577046053,5
A-83-01,Plug-in PCA CINDES,1.1548766025602197,0.0257532707694889,-0.01914000531019977,-0.0006710908842344487,0.0672763254682367,0.8870056497175142,0.012994350282485856,2.3809207636117247,5
A-83-01,ElasticNet Gaussian,1.1740166078704195,0.0253167103873645,0.0,0.01846891442596532,0.07279628625903618,0.872316384180791,0.027683615819208973,2.198740453782011,5
A-83-01,PCA/Ridge Gaussian,1.1555476934444542,0.02256466232083325,-0.01846891442596532,0.0,0.06698389247907724,0.9062146892655367,0.006214689265536699,2.485492640418091,5
A-83-01,PCA MDN,1.153327499927774,0.027797939414076867,-0.020689107942645446,-0.0022201935166801245,0.07086510245423391,0.8813559322033898,0.01864406779661021,2.357534880279086,5
ABT737,Plug-in PCA CINDES,1.870575449458629,0.028564202784624945,-0.014842688813710536,-0.025342412040407325,0.08674158408490992,0.89247311827957,0.007526881720430034,5.095669803711763,5
ABT737,ElasticNet Gaussian,1.8854181382723396,0.04696793682303534,0.0,-0.010499723226696789,0.08413114578875186,0.8268817204301075,0.07311827956989247,4.0054713962075255,5
ABT737,PCA/Ridge Gaussian,1.8959178614990364,0.029076910659793453,0.010499723226696789,0.0,0.0613658979270459,0.8935483870967742,0.006451612903225823,5.101479950641291,5
ABT737,PCA MDN,1.8679799854755401,0.05129837077662546,-0.0174381527967995,-0.02793787602349629,0.07219778244838601,0.864516129032258,0.03548387096774197,4.571294690108206,5
ACY-1215,Plug-in PCA CINDES,1.4759372886566693,0.04463433794522498,-0.07336313610243606,-0.07103658787561273,0.08358847993120957,0.8793296089385475,0.02067039106145252,3.2486676910184165,5
ACY-1215,ElasticNet Gaussian,1.5493004247591053,0.06890725117906096,0.0,0.0023265482268233217,0.11561836370381906,0.8681564245810056,0.03184357541899441,2.9065945802307436,5
ACY-1215,PCA/Ridge Gaussian,1.546973876532282,0.055394082575987456,-0.0023265482268233217,0.0,0.1058290110351118,0.8972067039106145,0.0027932960893854997,3.349444650737257,5
ACY-1215,PCA MDN,1.4935092589375691,0.04272305115224749,-0.055791165821536204,-0.05346461759471288,0.08607570148999175,0.8670391061452515,0.03296089385474854,3.0511339854790887,5
