baseline,n_analysis_units,mean_delta_nll,mean_delta_nll_ci_lower,mean_delta_nll_ci_upper,median_delta_nll,median_delta_nll_ci_lower,median_delta_nll_ci_upper
elasticnet,692,-0.024669810129428198,-0.03093967932347771,-0.018691965475203243,-0.00793153115393841,-0.013058392999351104,-0.0032723707487554154
pca_gaussian,692,-0.014288239605919462,-0.018915370389166807,-0.009977859235820606,-0.001057232720134249,-0.003705592854220008,0.0027724756965454844
pca_mdn,692,0.02581612078912178,0.023773092242227158,0.02803405585668824,0.0243201581717718,0.022170398815000603,0.027021056319284753
