analysis_id,drug_name,method,n_matched,mean_test_nll,se_test_nll,mean_pit_ks,se_pit_ks,mean_pi90_coverage,se_pi90_coverage,mean_abs_coverage_error,se_abs_coverage_error,mean_pi90_width,se_pi90_width,reps
GDSC1::1001::AICA Ribonucleotide,AICA Ribonucleotide,plugin_pca_cindes,906,1.505245381704413,0.01856492203172991,0.0820905742028456,0.010757453217406433,0.8659340659340659,0.009292051936971288,0.03406593406593404,0.009292051936971298,3.3791770919372808,0.0955081783416011,5
GDSC1::1001::AICA Ribonucleotide,AICA Ribonucleotide,gaussian_elasticnet_baseline,906,1.5117946385402947,0.021800132500643214,0.10651281205719457,0.01931738870756773,0.8505494505494505,0.009259505245248737,0.04945054945054942,0.009259505245248755,2.934907528920275,0.07299184799298035,5
GDSC1::1001::AICA Ribonucleotide,AICA Ribonucleotide,pca_gaussian_baseline,906,1.507765619458461,0.014970066329951048,0.10376037384577111,0.018937893744677806,0.887912087912088,0.0050953947777449115,0.01252747252747248,0.00482266115549269,3.4709160567781923,0.010187520295243549,5
GDSC1::1001::AICA Ribonucleotide,AICA Ribonucleotide,pca_mdn,906,1.511701725275962,0.010606492138721153,0.08286398854291253,0.012072998584890913,0.8626373626373626,0.009516762678949867,0.03736263736263734,0.009516762678949865,3.142922032746007,0.03797349814957167,5
GDSC1::1004::Vinblastine,Vinblastine,plugin_pca_cindes,911,1.6771428269543331,0.0270700177837126,0.08785908055733405,0.009452321879660525,0.8666666666666666,0.02092261171483785,0.04928961748633878,0.010400329839012288,3.9288677183962277,0.15456964775186394,5
GDSC1::1004::Vinblastine,Vinblastine,gaussian_elasticnet_baseline,911,1.6456220276806757,0.03847872420451337,0.10650100875317312,0.009912362097405073,0.8382513661202186,0.020196413784236426,0.0617486338797814,0.020196413784236422,3.338813329306592,0.08178735459015375,5
GDSC1::1004::Vinblastine,Vinblastine,pca_gaussian_baseline,911,1.6729828227514798,0.027622943870317673,0.08166771881953776,0.006390377820835241,0.9016393442622951,0.013273177925126911,0.024371584699453518,0.005324995722439288,4.166156443728459,0.030748949550995698,5
GDSC1::1004::Vinblastine,Vinblastine,pca_mdn,911,1.6387800419265457,0.03150149336099881,0.06156485112371701,0.00859631687436802,0.8852459016393442,0.012460933607640862,0.02196721311475406,0.009436954380294162,3.9615024775178,0.06749887956774725,5
GDSC1::1005::Cisplatin,Cisplatin,plugin_pca_cindes,915,1.50077074777546,0.03765824926256573,0.07819048494159109,0.011840709340877262,0.878688524590164,0.020329043975670247,0.03573770491803274,0.014405515846322554,3.2791570896227853,0.08990636084469913,5
GDSC1::1005::Cisplatin,Cisplatin,gaussian_elasticnet_baseline,915,1.455663221703182,0.058542118175559016,0.0885842147745308,0.007435034473060852,0.8491803278688526,0.020416985456032155,0.0580327868852459,0.014851329084431096,2.845398712099517,0.05685603966222245,5
GDSC1::1005::Cisplatin,Cisplatin,pca_gaussian_baseline,915,1.4945756520378892,0.04830845958860116,0.07765677903912052,0.010867126673074117,0.8939890710382514,0.018498700415093744,0.03420765027322404,0.007661194390523223,3.3646981013787665,0.047208284176021756,5
GDSC1::1005::Cisplatin,Cisplatin,pca_mdn,915,1.5027754317867301,0.0486330197419392,0.08601411067949423,0.013607919701761194,0.878688524590164,0.015397817271699851,0.026994535519125618,0.012979263684636942,3.1466782157681883,0.027782792078206938,5
GDSC1::1006::Cytarabine,Cytarabine,plugin_pca_cindes,904,1.8329190128639286,0.022794925939234992,0.09752975539808356,0.016883520955460616,0.8596685082872929,0.023801833401699467,0.05823204419889501,0.011200081978708115,4.512879885399873,0.23070334331361397,5
GDSC1::1006::Cytarabine,Cytarabine,gaussian_elasticnet_baseline,904,1.8954973058834383,0.032131319462356,0.12960753359914307,0.01403271875969683,0.7690607734806629,0.013801100548946739,0.13093922651933698,0.013801100548946739,3.446755937374602,0.13537123062565146,5
GDSC1::1006::Cytarabine,Cytarabine,pca_gaussian_baseline,904,1.8167290361094353,0.02401999910142431,0.09151228121411141,0.006738055178500863,0.8729281767955801,0.014512624902280322,0.03392265193370164,0.010302941614090651,4.650030422211674,0.02473934418888732,5
GDSC1::1006::Cytarabine,Cytarabine,pca_mdn,904,1.8034538616791616,0.027690353562171897,0.09895366255688648,0.013638312513461065,0.8662983425414363,0.019250001536115273,0.044972375690607705,0.012201817249481238,4.421926907729439,0.09232637953065462,5
GDSC1::1007::Docetaxel,Docetaxel,plugin_pca_cindes,914,1.6750894734148918,0.020165084283468207,0.0630169977106692,0.004049063023945711,0.8710382513661201,0.015799816715629477,0.032459016393442605,0.013997606685539123,3.9796729350174984,0.09107554150217032,5
GDSC1::1007::Docetaxel,Docetaxel,gaussian_elasticnet_baseline,914,1.603126306378878,0.024689566857071764,0.07110276842189375,0.003292265725382774,0.8502732240437159,0.010164521987835108,0.04972677595628414,0.010164521987835105,3.3944290574015548,0.07009354635585291,5
GDSC1::1007::Docetaxel,Docetaxel,pca_gaussian_baseline,914,1.6698971651210726,0.015388483158711578,0.06413987116480412,0.004895593094190582,0.9005464480874317,0.009045325331828887,0.01606557377049178,0.004167360866653034,4.126108174064939,0.018492524505441404,5
GDSC1::1007::Docetaxel,Docetaxel,pca_mdn,914,1.673525934857749,0.025838900150840227,0.06073769502932532,0.005606502091939593,0.8797814207650274,0.013496272169648627,0.022185792349726723,0.012700187144335708,3.9787277335026787,0.018680108658570435,5
GDSC1::1008::Methotrexate,Methotrexate,plugin_pca_cindes,914,1.6736030760579101,0.025353027349723743,0.10118364467710465,0.00514517725370992,0.8557377049180328,0.01322810758132262,0.04426229508196722,0.013228107581322618,3.7789899460487897,0.08012666707596817,5
GDSC1::1008::Methotrexate,Methotrexate,gaussian_elasticnet_baseline,914,1.6445947764864797,0.014592082010314865,0.11364103614602432,0.012445057409053212,0.8459016393442622,0.006557377049180309,0.0540983606557377,0.006557377049180296,3.4616876725150147,0.06820449177230217,5
GDSC1::1008::Methotrexate,Methotrexate,pca_gaussian_baseline,914,1.6431449065736092,0.013432732063533145,0.09136341615299207,0.01678389814810891,0.9092896174863387,0.006372625021688848,0.015191256830601041,0.0021192043092530437,4.135466431776432,0.01989576684058117,5
GDSC1::1008::Methotrexate,Methotrexate,pca_mdn,914,1.6181513245314196,0.023831606940694857,0.09187693589458082,0.015590720899105947,0.8819672131147541,0.012046670866146808,0.02524590163934428,0.008190161309374956,3.854474668339757,0.046442826277630286,5
GDSC1::1009::Tretinoin,Tretinoin,plugin_pca_cindes,904,1.528796312194721,0.010946390410380225,0.0860321281459405,0.003585958829924091,0.8640883977900552,0.010569683132435911,0.03591160220994472,0.010569683132435918,3.20310048744848,0.01614349691339252,5
GDSC1::1009::Tretinoin,Tretinoin,gaussian_elasticnet_baseline,904,1.5772568657195123,0.025350699514781392,0.1094184200746241,0.011471149388370757,0.8729281767955801,0.01562666919749276,0.03193370165745852,0.013132911624000898,3.0860478717485966,0.06679273320543555,5
GDSC1::1009::Tretinoin,Tretinoin,pca_gaussian_baseline,904,1.5530608513000967,0.016787565266867133,0.09349866304052681,0.009691293255933953,0.9160220994475138,0.007695242142090677,0.02022099447513804,0.004601251450531917,3.6201550284942527,0.01398047915347407,5
GDSC1::1009::Tretinoin,Tretinoin,pca_mdn,904,1.4834420697794435,0.02330657303722517,0.07743094245316652,0.009492141289890076,0.8861878453038674,0.010276837147921693,0.01867403314917124,0.008131876018994073,3.3010878144792364,0.06426124299970885,5
GDSC1::1010::Gefitinib,Gefitinib,plugin_pca_cindes,908,1.306139461856151,0.019954145531344076,0.06607855590215617,0.0034162666105885245,0.9087912087912088,0.0133007894911101,0.02373626373626366,0.007441759539928364,2.976149895041258,0.13308916476887506,5
GDSC1::1010::Gefitinib,Gefitinib,gaussian_elasticnet_baseline,908,1.3407327499784074,0.025440877317089057,0.07137251497985957,0.007201469345840613,0.8802197802197803,0.013614848014685568,0.02285714285714282,0.012351765671493209,2.798513769853902,0.02178570209249003,5
GDSC1::1010::Gefitinib,Gefitinib,pca_gaussian_baseline,908,1.3405400142379005,0.015421331093031074,0.062116852436296076,0.005963707364090708,0.923076923076923,0.006018929203353493,0.02307692307692304,0.00601892920335348,3.162556169394425,0.016412720074225527,5
GDSC1::1010::Gefitinib,Gefitinib,pca_mdn,908,1.2873039083493933,0.014624130157564556,0.06110931290201508,0.007390195365865625,0.9021978021978022,0.01144652014065913,0.01714285714285706,0.00766557363806387,2.940773266230198,0.047569210182865695,5
GDSC1::1011::Navitoclax,Navitoclax,plugin_pca_cindes,910,1.770985214228992,0.01288115660999408,0.09781479865577894,0.00743469320551315,0.8736263736263737,0.016299337334276184,0.03780219780219776,0.009072425248593533,4.334006084280911,0.2345626517637049,5
GDSC1::1011::Navitoclax,Navitoclax,gaussian_elasticnet_baseline,910,1.7776621233945065,0.019677083073239655,0.06900328421220518,0.006360260838717757,0.8725274725274726,0.012087912087912092,0.03010989010989006,0.010399576408194288,4.0707486977562555,0.075531325241413,5
GDSC1::1011::Navitoclax,Navitoclax,pca_gaussian_baseline,910,1.7929649055178754,0.009101397214004771,0.05481157593529612,0.005594860721170163,0.9010989010989011,0.012649301574968491,0.01999999999999994,0.007765740546837277,4.664647001098589,0.02067810449416229,5
GDSC1::1011::Navitoclax,Navitoclax,pca_mdn,910,1.712408474251464,0.010796692781860046,0.06631585159221778,0.011721981886655946,0.8824175824175825,0.009292051936971274,0.02241758241758234,0.00616364996148579,4.240432793883235,0.10286607440692129,5
GDSC1::1012::Vorinostat,Vorinostat,plugin_pca_cindes,914,1.319667516725018,0.019247732551407215,0.0873598750179133,0.007702009536570515,0.8907103825136613,0.011462391783280384,0.02371584699453552,0.003514302773948311,2.9925752270705854,0.16052811798888278,5
GDSC1::1012::Vorinostat,Vorinostat,gaussian_elasticnet_baseline,914,1.3431472723972182,0.045199703734202686,0.07148445126000562,0.011799261398028891,0.862295081967213,0.015590538379985901,0.03770491803278688,0.015590538379985905,2.572478966366902,0.0535501637948105,5
GDSC1::1012::Vorinostat,Vorinostat,pca_gaussian_baseline,914,1.3381061995828596,0.02469196791750479,0.08153701795890224,0.006765956467935272,0.9081967213114754,0.01028135941105291,0.0156284153005464,0.00783843544351525,3.0140369555383795,0.01680586097714294,5
GDSC1::1012::Vorinostat,Vorinostat,pca_mdn,914,1.2992186638826881,0.026841790836822484,0.06466658517759813,0.01020611213502816,0.8688524590163935,0.010928961748633892,0.031803278688524575,0.010446166684457721,2.736963828901108,0.03386648951859736,5
GDSC1::1013::Nilotinib,Nilotinib,plugin_pca_cindes,914,1.263405205224994,0.03921740717130424,0.08066586432644454,0.013878359316738566,0.8710382513661201,0.009241275696878586,0.02961748633879782,0.008706206018209605,2.4718736569692985,0.06916603318490525,5
