num_factors,method,mean_test_nll,se_test_nll,mean_pit_ks,se_pit_ks,mean_pi90_coverage,se_pi90_coverage,mean_abs_coverage_error,se_abs_coverage_error,mean_pi90_width,se_pi90_width,n_rows,n_analysis_units,reps
3,plugin_pca_cindes,1.5626532508875735,0.024151661484409993,0.08823575774986361,0.002842796702775739,0.890376011620534,0.0029280334514890974,0.03055990484579231,0.0019334940522768133,3.923452923927204,0.09093944405414132,175,35,5
5,plugin_pca_cindes,1.5544074360195208,0.02368357956759564,0.0893685296944411,0.002703469054486964,0.8846119078510165,0.0032762312456532535,0.034862833791474486,0.002260401836494858,3.8372628349059124,0.08846075753184468,175,35,5
10,plugin_pca_cindes,1.559662107772584,0.023620977029844604,0.09185478040879735,0.0028878593663869013,0.8856753943570252,0.0034137798288053686,0.037054542376127535,0.002223092685444892,3.8231456742121237,0.08950906879568074,175,35,5
15,plugin_pca_cindes,1.5638227908973257,0.023451945785655817,0.09561437288316091,0.002994230406194118,0.89217024616712,0.0035161216265223853,0.03750233994764712,0.002152332213318942,3.8771462592294754,0.09068784159347906,175,35,5
20,plugin_pca_cindes,1.566827648534846,0.02313301618479416,0.09802686096919018,0.002950519212561125,0.898146981736238,0.003199617327273568,0.034757649804326954,0.001820498444278147,3.971248186507941,0.09301811518116737,175,35,5
3,pca_gaussian_baseline,1.5993386811548453,0.02428769036644616,0.09063017095291136,0.002765624141215478,0.9048868275815413,0.0021268751488163714,0.022145176644838453,0.0013573517775309816,4.106879326812437,0.09824320310539092,175,35,5
5,pca_gaussian_baseline,1.5805532894183991,0.02332667252518363,0.08863033234453552,0.0027420430713767374,0.9015187218328775,0.0021186448779203066,0.021261993946253506,0.0013797807049138364,3.998308103429665,0.08862009574829338,175,35,5
10,pca_gaussian_baseline,1.5598456911969596,0.02280228250433555,0.08645116150997663,0.0027077993147865426,0.9008109585090202,0.0020109672788521105,0.02035512851261481,0.001290951159517346,3.867772072151961,0.08195039883564982,175,35,5
15,pca_gaussian_baseline,1.5517698111223974,0.02244808740376267,0.08720216030516113,0.0027623139170304444,0.8970397299033034,0.002032427322989624,0.020641726117033212,0.0013162003943728783,3.801598931768386,0.07874766249393249,175,35,5
20,pca_gaussian_baseline,1.5453249435593124,0.022597399590102717,0.08741804759957392,0.002835951210957122,0.896150411201695,0.002136000701198635,0.02119270119952606,0.0014375177660157603,3.75580924490503,0.07799503617859338,175,35,5
3,pca_mdn,1.5441819571535371,0.023828348812723738,0.07982217780363333,0.0024128932800694977,0.8877096202652863,0.00225839752850277,0.025499951479498302,0.0014937964509215663,3.837813603613459,0.08669048873065306,175,35,5
5,pca_mdn,1.532119591372837,0.023469535624497263,0.08095357905822669,0.0025563736908798566,0.881499650026005,0.002471992831889208,0.029228571150928775,0.0017798744422235313,3.7359233106262915,0.08252127090683713,175,35,5
10,pca_mdn,1.5267110679502018,0.023547359255420952,0.08359424058969243,0.002842911847211312,0.874300392954252,0.002647107115161479,0.03303799202595844,0.0021283655201060365,3.5890899979465236,0.07447561980082885,175,35,5
15,pca_mdn,1.5270712168569258,0.023113512219006056,0.08477553718777926,0.0028281910455324167,0.8708728270751931,0.0026553043366471735,0.035090594131451346,0.002202211481241099,3.5534646212898457,0.07319336882648958,175,35,5
20,pca_mdn,1.5248517225468254,0.022923679737371368,0.08436300925492753,0.002658715190958445,0.8722271620728713,0.0025539525764193163,0.03408526950347107,0.0020684690380720293,3.520280024575462,0.07132499368358174,175,35,5
